seed,avg_depth,depth1,depth2,depth3,routed,tau,alpha,pca_var
109,1.7397260273972603,0.476027397260274,0.3082191780821918,0.2157534246575342,0.2808219178082192,0.4286237388364733,0.5,0.7748911300644953
127,1.7465753424657535,0.4657534246575342,0.3219178082191781,0.2123287671232876,0.410958904109589,0.3606392900233408,0.5,0.7533867611118302
19,1.6849315068493151,0.5068493150684932,0.3013698630136986,0.1917808219178082,0.273972602739726,0.3955475558221667,0.5,0.7704374950192742
31,1.5856164383561644,0.565068493150685,0.2842465753424658,0.1506849315068493,0.160958904109589,0.4589565364978671,0.7000000000000001,0.7519898295992882
43,1.606164383561644,0.541095890410959,0.3116438356164384,0.1472602739726027,0.8527397260273972,0.0340250701525133,0.1,0.772724103696801
59,1.643835616438356,0.5171232876712328,0.3219178082191781,0.160958904109589,0.2397260273972602,0.4195090873420912,1.0,0.7467656018315099
71,1.678082191780822,0.5102739726027398,0.3013698630136986,0.1883561643835616,0.4212328767123288,0.3574308454679491,0.3,0.7501678113746973
7,1.7294520547945205,0.4726027397260274,0.3253424657534247,0.2020547945205479,0.1678082191780822,0.4710077587447061,0.2,0.7743678978208587
83,1.6986301369863013,0.5068493150684932,0.2876712328767123,0.2054794520547945,0.3219178082191781,0.4034420226836568,0.9,0.7543253736942753
97,1.61986301369863,0.5582191780821918,0.2636986301369863,0.1780821917808219,0.863013698630137,0.0007673177199768,0.5,0.7681518213110698
