,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,balanced_accuracy,balanced_accuracy,mcc,mcc,auc_ovr_macro,auc_ovr_macro,ece,ece,logloss,logloss
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,
Classical ensemble,0.8010273972602739,0.0299186953832814,0.8329329128354226,0.02587999215432849,0.8015369611338997,0.029605994230764036,0.8269879004253966,0.031957574980720306,0.7447820806616933,0.03823759086778048,0.9685862070456907,0.006852109897846756,0.05988229414752041,0.013231365957766313,0.497408072229787,0.047776559075531765
ExtraTrees,0.7794520547945206,0.024440956513374662,0.7996328086408026,0.02363544672834266,0.7784263313742882,0.024134169501063667,0.783851603359318,0.024181063352439486,0.7148023786092003,0.03159569462859133,0.9627816802582118,0.0075909509402115475,0.07731963470319629,0.020923585151837582,0.6035843739052502,0.0688497429424884
LightGBM,0.798972602739726,0.030462559237083575,0.8294055969868184,0.02654294539146717,0.8003895292072146,0.02983299807501428,0.826506556460479,0.031018051217997153,0.7428120131127455,0.03888959271317038,0.9672294401938066,0.006781344073816171,0.08822374521557104,0.020518479102884395,0.5566696701381255,0.08115236519851596
Logistic regression,0.6589041095890411,0.028888271393400278,0.6632433373047049,0.02841657885537733,0.6510368320307978,0.02983917786774354,0.7721438380370567,0.02513714146699382,0.5978947515218151,0.033266334618460715,0.9289705881615014,0.007846367173333375,0.07626919539031811,0.021435804432896412,0.935201494086362,0.10614772939339079
Proposed UAQRF,0.8034246575342466,0.02911294635487683,0.835368398799287,0.02517298297544287,0.8050683685189567,0.028775593149776638,0.8426794148501535,0.028707936412722772,0.7501216931387275,0.03685665168037374,0.9685343998186976,0.006742711507325572,0.0644559136749473,0.010193379100983418,0.5116838185694119,0.051352975347068834
RBF-SVM,0.7674657534246576,0.025033598489946494,0.7912227269137049,0.022740388033738356,0.7668895712380408,0.02495171148403842,0.787533145181494,0.025588582830416515,0.7006338921424861,0.03244194496620768,0.9545360238911048,0.008034536966924532,0.05357415940860462,0.011818460267972113,0.6092315218463277,0.03864274598608051
Random forest,0.7770547945205479,0.03094639164718403,0.7979577048696425,0.03579171055029708,0.7758432025845037,0.03186647098798145,0.7760481596363484,0.04083136974931929,0.7116696490735436,0.04041889516392719,0.9623055031994572,0.008632140116234293,0.08801141552511413,0.02407431660431093,0.5999225354442042,0.06365769389077197
Static-depth Q fusion,0.8,0.03139580723459365,0.8276453087201562,0.03326684958981876,0.8011532329154093,0.030779449296019036,0.8404579604140956,0.03183682852205404,0.7463978732678545,0.03830314276355865,0.9680218313773533,0.0069029522145344436,0.060877943602812554,0.010745436945282464,0.5148550612856673,0.054750369237611785
